notes,Contains interplanetary trajectory information and arrival geometry information. All vectors reported in EMO2000,,,,,,,
,,,,,,,,
field_name,key,short_name,datatype_range,sql_datatype,example_value,filtering,computable,description
id,PK,Trajectory ID,Sequence,INTEGER,4,n/a,no,
body_id,FK,Body ID (target),int(0-1000),INTEGER,599,n/a,no,
architecture_id,FK,Architecture ID,int(0-1000),INTEGER,3,n/a,no,
t_launch,,Launch date,real(0-36500.000),REAL,10158.751,slider (default),no,
t_arr,,Arrival date,real(0-36500.000),REAL,10611.823,slider (default),no,
v_inf_arr_x,,Arrival V infinity Vector X,real(-100 - 100.000000),REAL,20.971509,slider on magnitude of v infinity arrival (optional),no,
v_inf_arr_y,,Arrival V infinity Vector Y,real(-100 - 100.000000),REAL,10.656459,^,no,
v_inf_arr_z,,Arrival V infinity Vector Z,real(-100 - 100.000000),REAL,-0.652681,^,no,
c3,,Launch C3,real (0-500.000000),REAL,10.584471,slider (default),no,
dv_total,,Total Cruise DeltaV,real (0-100.000000),REAL,2.8846701,slider (default),no,
pos_earth_arr_x,,Earth Position @ Arrival X,real(0-10000000000.000),REAL,3903113883,n/a,no,
pos_earth_arr_y,,Earth Position @ Arrival Y,real(0-10000000000.000),REAL,2155580575,n/a,no,
pos_earth_arr_z,,Earth Position @ Arrival Z,real(0-10000000000.000),REAL,-134323986,n/a,no,
pos_sc_arr_x,,Spacecraft Position @ Arrival X,real(0-10000000000.000),REAL,3903113883,n/a,no,
pos_sc_arr_y,,Spacecraft Position @ Arrival Y,real(0-10000000000.000),REAL,2155580575,n/a,no,
pos_sc_arr_z,,Spacecraft Position @ Arrival Z,real(0-10000000000.000),REAL,-134323986,n/a,no,
pos_target_arr_x,,Target Position @ Arrival X,real(0-10000000000.000),REAL,3903113883,n/a,no,
pos_target_arr_y,,Target Position @ Arrival Y,real(0-10000000000.000),REAL,2155580575,n/a,no,
pos_target_arr_z,,Target Position @ Arrival Z,real(0-10000000000.000),REAL,-134323986,n/a,no,
