Field name,Short Name,Datatype (range),Example Value,Filtering Needs,Back End Computable,Description
id,,,,,,
entry_id,,,,,,
maneuver_type,Maneuver Type,text,orbiter separation,checkbox (optional),yes,Type of maneuver performed to separate from entry vehicle. Nullable
dv_maneuver,Maneuver DeltaV,real(-100 - 100.000000),10.656459,slider (optional),yes,Delta V of separation maneuver [km/s]. Nullable
pos_man_x,Spacecraft Position @ maneuver X,real(0-10000000000.000),3903113883,n/a,yes,x component of spacecraft position at time of maneuver [km]. Nullable
pos_man_y,Spacecraft Position @ maneuver Y,real(0-10000000000.000),2155580575,n/a,yes,y component of spacecraft position at time of maneuver [km]. Nullable
pos_man_z,Spacecraft Position @ maneuver Z,real(0-10000000000.000),-134323986,n/a,yes,z component of spacecraft position at time of maneuver [km]. Nullable
vel_man_x,Spacecraft Velocity @ maneuver X,real(-100 - 100.000000),20.971509,n/a,yes,x component of spacecraft velocity at time of maneuver [km]. Nullable
vel_man_y,Spacecraft Velocity @ maneuver Y,real(-100 - 100.000000),10.656459,n/a,yes,y component of spacecraft velocity at time of maneuver [km]. Nullable
vel_man_z,Spacecraft Velocity @ maneuver Z,real(-100 - 100.000000),-0.652681,n/a,yes,z component of spacecraft velocity at time of maneuver [km]. Nullable
